Name,Level,Department,Year,Non-Resident M,Non-Resident F,Unknown M,Unknown F,Hispanic M,Hispanic F,American Indian M,American Indian F,Asian M,Asian F,Black M,Black F,Pacific Islander M,Pacific Islander F,White M,White F,TwoorMore M,TwoorMore F,Total M,Total F,Total O,Total
Air Force Institute of Technology,Grad,Aeronautical Engineering,Master's,0,0,2,0,2,0,0,0,1,0,0,0,0,0,35,6,0,1,40,7,0,47
Air Force Institute of Technology,Grad,Applied Mathematics,Master's,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,4,2,0,6
Air Force Institute of Technology,Grad,Applied Physics,Master's,0,0,1,0,2,0,0,0,3,0,0,0,0,0,15,1,1,2,22,3,0,25
Air Force Institute of Technology,Grad,Astronautical Engineering,Master's,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3,1,0,11,3,0,14
Air Force Institute of Technology,Grad,Atmospheric Sciences,Master's,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,4,0,0,9,4,0,13
Air Force Institute of Technology,Grad,Computer Engineering,Master's,0,0,3,0,2,0,0,0,1,0,0,0,0,0,5,0,0,0,11,0,0,11
Air Force Institute of Technology,Grad,Computer Science,Master's,0,0,1,0,0,0,0,0,2,0,0,0,0,0,12,1,1,0,16,1,0,17
Air Force Institute of Technology,Grad,Cyber Operations,Master's,0,0,1,0,5,0,0,0,3,0,3,0,0,0,14,1,2,0,28,1,0,29
Air Force Institute of Technology,Grad,Electrical Engineering,Master's,3,1,2,1,5,1,0,0,3,1,4,1,0,0,44,1,2,0,63,6,0,69
Air Force Institute of Technology,Grad,Engineering Management,Master's,0,0,4,0,2,0,0,0,1,1,1,0,2,0,23,8,0,1,33,10,0,43
Air Force Institute of Technology,Grad,Environmental Engineering & Science,Master's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,1,0,6
Air Force Institute of Technology,Grad,Materials Science,Master's,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5,2,0,7
Air Force Institute of Technology,Grad,Nuclear Engineering,Master's,0,0,2,0,1,0,0,0,0,0,0,0,0,0,11,2,0,0,14,2,0,16
Air Force Institute of Technology,Grad,Operations Research,Master's,0,0,5,1,5,0,0,0,3,0,1,1,0,0,29,7,1,1,44,10,0,54
Air Force Institute of Technology,Grad,Optical Science and Engineering,Master's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Air Force Institute of Technology,Grad,Space Systems,Master's,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,9,1,0,10
Air Force Institute of Technology,Grad,Systems Engineering,Master's,1,0,0,1,1,0,0,0,0,0,0,0,0,0,10,2,0,0,12,3,0,15
Air Force Institute of Technology,Grad,Aeronautical Engineering,Doctoral,0,0,2,0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,11,1,0,12
Air Force Institute of Technology,Grad,Applied Physics,Doctoral,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,1,0,1,7,3,0,10
Air Force Institute of Technology,Grad,Astronautical Engineering,Doctoral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5
Air Force Institute of Technology,Grad,Computer Engineering,Doctoral,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2
Air Force Institute of Technology,Grad,Computer Science,Doctoral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5
Air Force Institute of Technology,Grad,Electrical Engineering,Doctoral,0,0,4,0,1,0,0,0,2,0,1,0,0,0,12,0,0,1,20,1,0,21
Air Force Institute of Technology,Grad,Materials Science,Doctoral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Force Institute of Technology,Grad,Mathematics and Statistics,Doctoral,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,7
Air Force Institute of Technology,Grad,Nuclear Engineering,Doctoral,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,9,3,0,12
Air Force Institute of Technology,Grad,Operations Research,Doctoral,0,0,2,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,10,0,0,10
Air Force Institute of Technology,Grad,Optical Science and Engineering,Doctoral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2
Air Force Institute of Technology,Grad,Space Systems,Doctoral,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2
Air Force Institute of Technology,Grad,Systems Engineering,Doctoral,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,6
University of Alabama at Birmingham,Undergrad,Biomedical Engineering (B.S.),Freshmen,1,1,0,0,0,0,0,0,7,0,0,1,0,0,22,23,1,1,31,26,0,57
University of Alabama at Birmingham,Undergrad,Biomedical Engineering (B.S.),Sophomore,0,1,1,0,0,0,0,0,4,3,0,1,0,0,15,16,3,2,23,23,0,46
University of Alabama at Birmingham,Undergrad,Biomedical Engineering (B.S.),Junior,2,0,1,0,0,1,0,0,2,5,3,1,0,0,6,11,1,0,15,18,0,33
University of Alabama at Birmingham,Undergrad,Biomedical Engineering (B.S.),Senior,1,2,0,0,1,1,0,0,6,1,1,3,0,0,15,16,0,3,24,26,0,50
University of Alabama at Birmingham,Undergrad,Civil Engineering (B.S.),Freshmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Alabama at Birmingham,Undergrad,Civil Engineering (B.S.),Sophomore,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,4
University of Alabama at Birmingham,Undergrad,Civil Engineering (B.S.),Junior,2,0,0,0,0,0,0,0,0,1,1,1,0,0,13,5,0,1,16,8,0,24
University of Alabama at Birmingham,Undergrad,Civil Engineering (B.S.),Senior,2,1,0,0,2,1,0,0,0,1,3,1,0,0,23,11,0,1,30,16,0,46
University of Alabama at Birmingham,Undergrad,Electrical Engineering (B.S.),Freshmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Alabama at Birmingham,Undergrad,Electrical Engineering (B.S.),Sophomore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5
University of Alabama at Birmingham,Undergrad,Electrical Engineering (B.S.),Junior,0,0,1,0,0,0,0,0,2,0,6,0,0,0,12,1,0,0,21,1,0,22
University of Alabama at Birmingham,Undergrad,Electrical Engineering (B.S.),Senior,0,0,3,0,0,0,0,0,3,0,3,1,0,0,26,0,0,0,35,1,0,36
University of Alabama at Birmingham,Undergrad,Materials Engineering (B.S.),Freshmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Alabama at Birmingham,Undergrad,Materials Engineering (B.S.),Sophomore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
University of Alabama at Birmingham,Undergrad,Materials Engineering (B.S.),Junior,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,4,0,9
University of Alabama at Birmingham,Undergrad,Materials Engineering (B.S.),Senior,0,1,0,0,1,0,0,0,0,0,4,1,0,0,13,2,0,2,18,6,0,24
University of Alabama at Birmingham,Undergrad,Mechanical Engineering (B.S.),Freshmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Alabama at Birmingham,Undergrad,Mechanical Engineering (B.S.),Sophomore,0,1,0,0,1,0,0,0,1,0,1,0,0,0,5,1,0,0,8,2,0,10
University of Alabama at Birmingham,Undergrad,Mechanical Engineering (B.S.),Junior,1,1,0,0,0,0,0,1,2,1,4,1,0,0,15,1,0,0,22,5,0,27
University of Alabama at Birmingham,Undergrad,Mechanical Engineering (B.S.),Senior,3,0,0,0,3,0,0,1,0,2,0,1,0,0,39,7,1,0,46,11,0,57
University of Alabama at Birmingham,Undergrad,Undeclared or Pre-Engineering Majors,Freshmen,1,0,1,0,1,0,1,0,13,4,26,12,0,16,64,0,3,0,110,32,0,142
University of Alabama at Birmingham,Undergrad,Undeclared or Pre-Engineering Majors,Sophomore,13,4,0,0,1,0,0,0,3,0,17,4,0,0,40,14,3,1,77,23,0,100
University of Alabama at Birmingham,Undergrad,Undeclared or Pre-Engineering Majors,Junior,2,1,0,0,0,0,0,0,1,0,2,2,0,0,23,7,0,1,28,11,0,39
University of Alabama at Birmingham,Undergrad,Undeclared or Pre-Engineering Majors,Senior,1,0,0,0,1,0,0,0,0,0,3,2,0,0,9,8,0,0,14,10,0,24
University of Alabama at Birmingham,Grad,Biomedical Engineering (M.S.),Master's,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,0,5
University of Alabama at Birmingham,Grad,Civil Engineering (M.S.),Master's,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,6,0,13
University of Alabama at Birmingham,Grad,Civil Engineering (MENG),Master's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
University of Alabama at Birmingham,Grad,Civil Engineering (MENG),Master's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
University of Alabama at Birmingham,Grad,Civil Engineering (MENG),Master's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
University of Alabama at Birmingham,Grad,Electrical and Computer Engineering (M.S.),Master's,16,6,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,19,6,0,25
University of Alabama at Birmingham,Grad,Engineering (MENG),Master's,0,0,1,0,0,0,0,0,0,1,2,3,0,0,1,1,0,0,4,5,0,9
University of Alabama at Birmingham,Grad,Engineering (MENG),Master's,0,0,1,0,0,0,0,0,0,1,2,3,0,0,1,1,0,0,4,5,0,9
University of Alabama at Birmingham,Grad,Engineering (MENG),Master's,0,0,1,0,0,0,0,0,0,1,2,3,0,0,1,1,0,0,4,5,0,9
University of Alabama at Birmingham,Grad,Engineering Management (MSEM),Master's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Alabama at Birmingham,Grad,Materials Engineering (M.S.),Master's,9,3,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,11,7,0,18
University of Alabama at Birmingham,Grad,Mechanical Engineering (M.S.),Master's,25,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,29,1,0,30
University of Alabama at Birmingham,Grad,Biomedical Engineering (Ph.D.),Doctoral,3,7,1,0,0,0,0,0,0,0,0,0,0,0,7,3,1,1,12,11,0,23
University of Alabama at Birmingham,Grad,Civil Engineering (Ph.D.),Doctoral,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,4
University of Alabama at Birmingham,Grad,Computer Engineering (Ph.D.),Doctoral,7,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,12,1,0,13
University of Alabama at Birmingham,Grad,Interdisciplinary (Ph.D.),Doctoral,7,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,11,0,0,11
University of Alabama at Birmingham,Grad,Materials Engineering,Doctoral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of Alabama at Birmingham,Grad,Materials Science (Ph.D.),Doctoral,4,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,8,2,0,10
The University of Alabama in Huntsville,Undergrad,Aerospace Engineering (B.S.),Freshmen,3,1,0,0,7,2,6,0,2,1,7,2,0,0,133,26,10,1,168,33,0,201
The University of Alabama in Huntsville,Undergrad,Aerospace Engineering (B.S.),Sophomore,4,1,0,0,4,3,0,0,4,3,4,1,0,0,83,13,3,1,102,22,0,124
The University of Alabama in Huntsville,Undergrad,Aerospace Engineering (B.S.),Junior,3,2,0,0,2,1,1,0,4,0,0,3,0,0,64,11,2,0,76,17,0,93
The University of Alabama in Huntsville,Undergrad,Aerospace Engineering (B.S.),Senior,3,0,0,0,4,1,0,1,5,0,3,3,0,0,67,11,1,0,83,16,0,99
The University of Alabama in Huntsville,Undergrad,Chemical Engineering (B.S.),Freshmen,1,0,0,0,1,1,0,0,3,0,3,0,0,0,21,13,2,2,31,16,0,47
The University of Alabama in Huntsville,Undergrad,Chemical Engineering (B.S.),Sophomore,0,2,0,0,0,0,1,0,1,3,4,2,0,0,28,21,0,1,34,29,0,63
The University of Alabama in Huntsville,Undergrad,Chemical Engineering (B.S.),Junior,2,0,0,0,1,2,1,1,3,1,1,1,0,0,22,8,1,0,31,13,0,44
The University of Alabama in Huntsville,Undergrad,Chemical Engineering (B.S.),Senior,1,1,0,0,1,1,1,0,2,1,2,2,0,0,20,16,0,0,27,21,0,48
The University of Alabama in Huntsville,Undergrad,Civil Engineering (B.S.),Freshmen,1,0,0,0,2,0,0,0,0,1,3,1,0,0,21,9,0,0,27,11,0,38
The University of Alabama in Huntsville,Undergrad,Civil Engineering (B.S.),Sophomore,0,0,0,0,1,0,0,0,1,0,3,1,0,0,13,4,0,0,18,5,0,23
The University of Alabama in Huntsville,Undergrad,Civil Engineering (B.S.),Junior,1,0,0,0,1,0,0,0,0,0,2,1,0,0,20,8,1,0,25,9,0,34
The University of Alabama in Huntsville,Undergrad,Civil Engineering (B.S.),Senior,1,0,0,0,1,0,0,0,0,0,4,0,0,0,21,12,0,2,27,14,0,41
The University of Alabama in Huntsville,Undergrad,Computer Engineering (B.S.),Freshmen,3,0,0,0,4,0,0,0,7,2,8,5,0,0,65,4,2,0,89,11,0,100
The University of Alabama in Huntsville,Undergrad,Computer Engineering (B.S.),Sophomore,3,0,0,0,4,1,1,0,4,0,2,0,0,0,47,10,2,0,63,11,0,74
The University of Alabama in Huntsville,Undergrad,Computer Engineering (B.S.),Junior,2,1,0,0,6,1,0,0,1,1,5,1,2,0,35,5,2,0,53,9,0,62
The University of Alabama in Huntsville,Undergrad,Computer Engineering (B.S.),Senior,1,2,0,0,1,1,0,0,5,2,3,2,0,0,38,6,0,0,48,13,0,61
The University of Alabama in Huntsville,Undergrad,Computer Science (B.S.)1,Freshmen,0,1,0,0,7,2,1,0,3,2,11,3,0,0,76,16,5,1,103,25,0,128
The University of Alabama in Huntsville,Undergrad,Computer Science (B.S.)1,Sophomore,2,1,0,0,3,1,0,0,4,2,3,3,0,0,73,17,1,0,86,24,0,110
The University of Alabama in Huntsville,Undergrad,Computer Science (B.S.)1,Junior,1,1,0,0,2,1,2,0,3,1,3,3,0,1,82,15,2,1,95,23,0,118
The University of Alabama in Huntsville,Undergrad,Computer Science (B.S.)1,Senior,4,1,0,0,3,4,0,0,8,2,4,2,0,0,59,16,1,0,79,25,0,104
The University of Alabama in Huntsville,Undergrad,Cybsersecurity (B.S.),Freshmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The University of Alabama in Huntsville,Undergrad,Cybsersecurity (B.S.),Sophomore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The University of Alabama in Huntsville,Undergrad,Cybsersecurity (B.S.),Junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The University of Alabama in Huntsville,Undergrad,Cybsersecurity (B.S.),Senior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The University of Alabama in Huntsville,Undergrad,Electrical Engineering (B.S.),Freshmen,2,0,0,0,2,0,1,0,2,0,3,1,0,0,46,4,0,0,56,5,0,61
The University of Alabama in Huntsville,Undergrad,Electrical Engineering (B.S.),Sophomore,0,0,0,0,3,1,1,0,1,0,2,0,0,0,26,2,1,0,34,3,0,37
The University of Alabama in Huntsville,Undergrad,Electrical Engineering (B.S.),Junior,1,1,0,0,3,0,2,0,7,0,4,0,0,0,33,4,2,0,52,5,0,57
The University of Alabama in Huntsville,Undergrad,Electrical Engineering (B.S.),Senior,3,1,0,0,3,0,1,1,1,1,15,1,0,0,54,10,1,0,78,14,0,92
The University of Alabama in Huntsville,Undergrad,Industrial and Systems Engineering (B.S.),Freshmen,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,3,0,0,6,4,0,10
The University of Alabama in Huntsville,Undergrad,Industrial and Systems Engineering (B.S.),Sophomore,0,0,0,0,2,0,0,0,0,0,2,0,0,0,7,5,0,0,11,5,0,16
The University of Alabama in Huntsville,Undergrad,Industrial and Systems Engineering (B.S.),Junior,0,0,0,0,3,1,1,0,1,0,0,1,0,0,10,14,0,0,15,16,0,31
The University of Alabama in Huntsville,Undergrad,Industrial and Systems Engineering (B.S.),Senior,0,1,0,0,0,1,1,0,0,2,7,1,0,0,18,13,1,0,27,18,0,45
The University of Alabama in Huntsville,Undergrad,Mechanical Engineering (B.S.),Freshmen,4,0,0,0,7,1,0,1,1,2,15,2,0,0,99,15,3,0,129,21,0,150
The University of Alabama in Huntsville,Undergrad,Mechanical Engineering (B.S.),Sophomore,4,0,0,0,7,0,0,0,5,1,1,1,0,0,91,11,1,0,109,13,0,122
The University of Alabama in Huntsville,Undergrad,Mechanical Engineering (B.S.),Junior,4,0,0,0,4,3,1,0,2,1,6,1,0,0,75,14,4,0,96,19,0,115
The University of Alabama in Huntsville,Undergrad,Mechanical Engineering (B.S.),Senior,4,1,0,0,4,0,2,0,4,4,8,4,0,0,105,19,1,0,128,28,0,156
The University of Alabama in Huntsville,Undergrad,Optical Engineering (B.S.),Freshmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4
The University of Alabama in Huntsville,Undergrad,Optical Engineering (B.S.),Sophomore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,3
The University of Alabama in Huntsville,Undergrad,Optical Engineering (B.S.),Junior,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,3
